epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2004.4,1.53973,2.20015,1.54191,0.57523,0.4577,0.49418,0.22999,1.70482,2.22705,1.82803,0.000664251,0.000664251,0.000664251
2,3777.48,1.7524,2.1056,1.73881,0.16173,0.21239,0.10817,0.03584,2.53586,3.37805,2.83092,0.00130457,0.00130457,0.00130457
3,5510.14,1.80278,2.06184,1.77529,0.35892,0.40166,0.28757,0.11245,2.00468,2.48917,2.02178,0.00191848,0.00191848,0.00191848
4,7217.11,1.7553,1.98782,1.75134,0.38508,0.38945,0.33645,0.14602,1.97554,2.06707,1.97287,0.0018812,0.0018812,0.0018812
5,8911.6,1.6977,1.91021,1.69964,0.56822,0.48103,0.50348,0.23933,1.69886,1.80419,1.81632,0.0018416,0.0018416,0.0018416
6,10608.7,1.64164,1.79551,1.65432,0.63791,0.54863,0.58977,0.30673,1.6014,1.54358,1.72224,0.001802,0.001802,0.001802
7,12362.1,1.59726,1.73981,1.61832,0.60613,0.52752,0.56721,0.29345,1.64809,1.62353,1.76631,0.0017624,0.0017624,0.0017624
8,14565.5,1.57358,1.70184,1.59866,0.53696,0.58962,0.58441,0.30218,1.55846,1.53654,1.64876,0.0017228,0.0017228,0.0017228
9,16181.3,1.5496,1.64541,1.57717,0.66069,0.56651,0.62272,0.33277,1.56328,1.44462,1.65574,0.0016832,0.0016832,0.0016832
10,17800.3,1.51853,1.596,1.54531,0.69932,0.58423,0.65511,0.36655,1.50169,1.35978,1.61044,0.0016436,0.0016436,0.0016436
11,19414.3,1.47897,1.54443,1.52931,0.76081,0.56597,0.67032,0.37404,1.51678,1.32363,1.63152,0.001604,0.001604,0.001604
12,21040.4,1.48722,1.52823,1.52296,0.73839,0.58962,0.69524,0.38638,1.46347,1.3153,1.57141,0.0015644,0.0015644,0.0015644
13,22659.5,1.45726,1.48393,1.50752,0.71835,0.587,0.66509,0.3808,1.44281,1.30056,1.57571,0.0015248,0.0015248,0.0015248
14,24288.7,1.43065,1.46085,1.48689,0.74991,0.59267,0.6775,0.39046,1.44351,1.29864,1.57198,0.0014852,0.0014852,0.0014852
15,25912.1,1.42621,1.42934,1.47668,0.73847,0.587,0.66725,0.38405,1.42228,1.27776,1.55266,0.0014456,0.0014456,0.0014456
16,27535.5,1.39614,1.41411,1.46592,0.69712,0.5652,0.64179,0.36173,1.47127,1.31738,1.59032,0.001406,0.001406,0.001406
17,29156.3,1.38083,1.37658,1.45507,0.77016,0.628,0.73296,0.43097,1.36967,1.12099,1.5016,0.0013664,0.0013664,0.0013664
18,30799,1.38019,1.35806,1.43838,0.74625,0.64,0.72097,0.42501,1.3891,1.15703,1.50721,0.0013268,0.0013268,0.0013268
19,32481.7,1.36942,1.34154,1.4362,0.76889,0.65148,0.73719,0.4266,1.36013,1.18609,1.48425,0.0012872,0.0012872,0.0012872
20,34118.9,1.35905,1.32439,1.41696,0.75947,0.63585,0.71684,0.43197,1.33938,1.16919,1.44221,0.0012476,0.0012476,0.0012476
21,35760.3,1.34909,1.3036,1.41463,0.75813,0.63975,0.71387,0.42495,1.37715,1.15314,1.50204,0.001208,0.001208,0.001208
22,37396.6,1.33578,1.2777,1.40808,0.78484,0.66594,0.75596,0.45198,1.32317,1.11012,1.4393,0.0011684,0.0011684,0.0011684
23,39061.3,1.32022,1.26325,1.40158,0.78117,0.65809,0.74799,0.45373,1.31697,1.06839,1.42794,0.0011288,0.0011288,0.0011288
24,40711.6,1.31904,1.25265,1.39566,0.74774,0.63977,0.72045,0.44035,1.30521,1.10027,1.43552,0.0010892,0.0010892,0.0010892
25,42372.3,1.30602,1.23369,1.38166,0.78017,0.66768,0.75481,0.46303,1.29756,1.06086,1.4222,0.0010496,0.0010496,0.0010496
26,44035.9,1.30601,1.21392,1.38285,0.78767,0.68435,0.77595,0.47494,1.27722,1.0216,1.41127,0.00101,0.00101,0.00101
27,45957.5,1.28145,1.20024,1.36139,0.79278,0.66404,0.75544,0.46239,1.30069,1.02964,1.40657,0.0009704,0.0009704,0.0009704
28,48039.2,1.27486,1.1744,1.35625,0.78715,0.67161,0.76228,0.46264,1.28649,1.03705,1.41715,0.0009308,0.0009308,0.0009308
29,49904.3,1.26649,1.16764,1.35322,0.79158,0.65678,0.74838,0.46425,1.27341,1.04264,1.39954,0.0008912,0.0008912,0.0008912
30,51562.9,1.24155,1.14423,1.34446,0.80545,0.69472,0.77693,0.49138,1.23853,0.97874,1.3706,0.0008516,0.0008516,0.0008516
31,53262.2,1.24128,1.1348,1.33886,0.80961,0.67074,0.77414,0.47971,1.25416,0.99273,1.39194,0.000812,0.000812,0.000812
32,54967.9,1.22274,1.1168,1.32797,0.81494,0.70257,0.78665,0.50103,1.21861,0.94569,1.35043,0.0007724,0.0007724,0.0007724
33,56668.8,1.21596,1.10196,1.32433,0.82854,0.68069,0.78231,0.49294,1.22712,0.95652,1.35611,0.0007328,0.0007328,0.0007328
34,58329.6,1.21637,1.10112,1.31984,0.80247,0.71402,0.79132,0.50664,1.21162,0.92126,1.34556,0.0006932,0.0006932,0.0006932
35,59983.4,1.19047,1.06795,1.30938,0.8345,0.69429,0.79513,0.50223,1.20723,0.93424,1.34254,0.0006536,0.0006536,0.0006536
36,61647.5,1.19457,1.06084,1.30463,0.82417,0.70114,0.78783,0.50171,1.21947,0.94182,1.35831,0.000614,0.000614,0.000614
37,63301.5,1.17217,1.04425,1.29575,0.79473,0.71252,0.78744,0.49715,1.21249,0.9208,1.34397,0.0005744,0.0005744,0.0005744
38,64964.1,1.17034,1.03383,1.29146,0.82966,0.71582,0.80273,0.51567,1.18462,0.90183,1.31751,0.0005348,0.0005348,0.0005348
39,66613.2,1.17478,1.03315,1.28695,0.81102,0.72133,0.80106,0.51742,1.17444,0.88297,1.32926,0.0004952,0.0004952,0.0004952
40,68263.4,1.15495,1.02897,1.27992,0.8262,0.70955,0.79509,0.51337,1.17307,0.89468,1.31984,0.0004556,0.0004556,0.0004556
41,69897.7,1.10689,0.87514,1.24417,0.80365,0.73441,0.80585,0.51922,1.17566,0.88134,1.32567,0.000416,0.000416,0.000416
42,71539.5,1.08848,0.83863,1.2411,0.82766,0.70955,0.802,0.51878,1.16783,0.88472,1.31749,0.0003764,0.0003764,0.0003764
43,73168.2,1.07984,0.82916,1.22929,0.8306,0.70737,0.79825,0.5211,1.17158,0.87749,1.31835,0.0003368,0.0003368,0.0003368
44,74802.8,1.05604,0.80736,1.21469,0.84097,0.7103,0.81357,0.531,1.16348,0.84843,1.31358,0.0002972,0.0002972,0.0002972
45,76425.5,1.04964,0.79522,1.21418,0.84606,0.71667,0.80563,0.52527,1.16849,0.85074,1.31601,0.0002576,0.0002576,0.0002576
46,78070.6,1.03469,0.78141,1.20162,0.8406,0.71566,0.80692,0.5267,1.16281,0.85311,1.32265,0.000218,0.000218,0.000218
47,79715.1,1.02866,0.76856,1.19535,0.85032,0.71103,0.80385,0.52515,1.15431,0.85964,1.31254,0.0001784,0.0001784,0.0001784
48,81372.8,1.01519,0.76483,1.18424,0.84732,0.71871,0.8101,0.53517,1.14417,0.83415,1.30927,0.0001388,0.0001388,0.0001388
49,83006.4,0.99012,0.74308,1.17273,0.84487,0.7244,0.81109,0.53425,1.14094,0.83272,1.30594,9.92e-05,9.92e-05,9.92e-05
50,84635.9,0.98714,0.73937,1.17714,0.85219,0.72525,0.81344,0.53762,1.13704,0.82365,1.30029,5.96e-05,5.96e-05,5.96e-05
