epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.582,2.38997,3.25257,1.99999,0.01717,0.61986,0.16879,0.0715,2.36338,3.23523,1.82457,0.00043342,0.00043342,0.00043342
2,387.84,2.40335,2.51028,1.97693,0.71844,0.18555,0.2253,0.08943,2.35539,2.8006,2.25575,0.000866017,0.000866017,0.000866017
3,598.478,2.42494,2.30574,1.99422,0.2106,0.25208,0.11657,0.03794,2.44643,2.62638,2.24739,0.00128079,0.00128079,0.00128079
4,791.253,2.38557,2.26907,1.99183,0.27874,0.2646,0.17152,0.06724,2.40055,2.62138,2.24303,0.00156798,0.00156798,0.00156798
5,989.989,2.3462,2.24633,1.98838,0.28217,0.2569,0.16731,0.0669,2.52867,3.72264,2.24127,0.00153497,0.00153497,0.00153497
6,1195.86,2.32641,2.21417,1.99308,0.31835,0.31558,0.24881,0.10117,2.3262,2.38106,2.1803,0.00150197,0.00150197,0.00150197
7,1362.96,2.30617,2.16374,1.96802,0.383,0.25163,0.23217,0.10233,2.33659,2.35588,2.06231,0.00146896,0.00146896,0.00146896
8,1521.93,2.32796,2.17627,1.9939,0.386,0.35655,0.32035,0.13951,2.30841,2.27849,2.03131,0.00143595,0.00143595,0.00143595
9,1723.71,2.27979,2.10835,1.92526,0.38153,0.26935,0.22644,0.09939,2.32387,2.37151,2.06588,0.00140295,0.00140295,0.00140295
10,1929.15,2.26691,2.10967,1.95448,0.44204,0.368,0.31605,0.15171,2.33252,2.2554,2.05248,0.00136994,0.00136994,0.00136994
11,2123.41,2.26726,2.10504,1.92226,0.37455,0.45848,0.35931,0.16275,2.27283,2.15115,1.96232,0.00133693,0.00133693,0.00133693
12,2292.02,2.26205,2.11112,1.93385,0.38324,0.3948,0.32951,0.15,2.23192,2.15124,2.00065,0.00130393,0.00130393,0.00130393
13,2461.76,2.2548,2.10698,1.92173,0.37827,0.43572,0.34888,0.17433,2.24927,2.23031,1.9711,0.00127092,0.00127092,0.00127092
14,2651.76,2.25761,2.12995,1.91863,0.42872,0.36853,0.33243,0.16295,2.29457,2.15704,1.99604,0.00123791,0.00123791,0.00123791
15,2868.78,2.24642,2.05393,1.90596,0.45414,0.40813,0.39057,0.18816,2.25055,2.13884,2.00779,0.00120491,0.00120491,0.00120491
16,3060.12,2.23956,2.05092,1.89505,0.51627,0.38632,0.37483,0.16555,2.25985,2.18638,2.0557,0.0011719,0.0011719,0.0011719
17,3290.61,2.24085,2.07205,1.93572,0.53226,0.42035,0.40962,0.1884,2.25971,2.14089,2.03036,0.00113889,0.00113889,0.00113889
18,3524.44,2.22123,2.04737,1.88352,0.42867,0.42506,0.41171,0.19651,2.25215,2.14071,2.00937,0.00110589,0.00110589,0.00110589
19,3743.53,2.21358,2.05173,1.91701,0.46588,0.3614,0.35683,0.17612,2.25104,2.1351,2.08019,0.00107288,0.00107288,0.00107288
20,3981.6,2.22161,2.01623,1.89998,0.40109,0.46221,0.40044,0.18878,2.20452,2.0333,1.96671,0.00103987,0.00103987,0.00103987
